,ID,Site,Gender,Age,ZipCode_Perm,Marital,Num_of_Children,Attending_4year,Highest_Education,Mom_Education,Dad_Education,Employment,Gross,Religion,Religiosity,Racial_Comp_Comm,Racial_Comp_Peers,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MA12,MA13,MA14,MA15,MA16,MA17,MA18,MA19,MA20,MA21,MA22,MA23,MA24,MA25,MA26,MA27,MA28,MA29,MA30,MA31,MA32,MA33,MA34,MA35,MA36,MA37,MA38,MA39,MA40,MA41,MA42,MA43,MA44,MA45,MA46,MA47,MA49,SAIBA1,SAIBA2,SAIBA3,SAIBA4,SAIBA5_R,SAIBA6,SAIBA7,SAIBA8,SAIBA9,SAIBA10,SAIBA11,SAIBA12,SAIBA13,SAIBA14_R,SAIBA15_R,SAIBA16,SAIBA17_R,SAIBA18_R,SAIBA19_R,SAIBA20_R,SAIBA21,SAIBA22,MIBI1,MIBI2,MIBI3,MIBI4,MIBI5,MIBI6,MIBI7,MIBI8,MIBI9,MIBI10,MIBI11,MIBI12,MIBI13,MIBI14,MIBI15,MIBI16,MIBI17,MIBI18,MIBI19,MIBI20,MIBI21,MIBI22,MIBI23,MIBI24,MIBI25,MIBI26,MIBI27,MIBI28,MIBI29,MIBI30,MIBI31,MIBI32,MIBI33,MIBI34,MIBI35,MIBI36,MIBI37,MIBI38,MIBI39,MIBI40,MIBI41,MIBI42,MIBI43,MIBI44,MIBI45,MIBI46,MIBI47,MIBI48,MIBI49,MIBI50,MIBI51,MIBI52,MIBI53,MIBI54,MIBI55,MIBI56,IRRS1,IRRS2,IRRS3,IRRS4,IRRS5,IRRS6,IRRS7,IRRS8,IRRS9,IRRS10,IRRS11,IRRS12,IRRS13,IRRS14,IRRS15,IRRS16,IRRS17,IRRS18,IRRS19,IRRS20,IRRS21,IRRS22,MEIM1,MEIM2,MEIM3,MEIM4,MEIM5,MEIM6,MEIM7,MEIM8,MEIM9,MEIM10,MEIM11,MEIM12,MEIM13,MEIM14,MEIM15,MIBI1_R,MIBI13_R,MIBI17_R,MIBI24_R,MIBI51_R,MIBI52_R,SoB,CENT,PRIV,PUBL,ASML,HUMN,NATN,OPMN,ISTR,INDR,CLTR,Z_SoB,Z_ASML,Z_HUMN,Z_NATN,Z_OPMN,Cluster,cluster
0,1,1.0,1,19,61801.0,6,0,1,4,1.0,1.0,4,2.0,6.0,3.0,2.0,3.0,1.0,1,1,2,2,1,1,1.0,1,2.0,2,2,2,3.0,2.0,1,1,1,1.0,1,2,1.0,2.0,2.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1,1,2,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3,4,3.0,2.0,4.0,3,1.0,1.0,3,3.0,3,1,2,2.0,5,1.0,3,5.0,4.0,5.0,5,3.0,6,5,1.0,4.0,4,4,6.0,7,3,4,4,3.0,4,3.0,4,4.0,5.0,5.0,6.0,3.0,3.0,1.0,4.0,1.0,1.0,7.0,4.0,7.0,7,7.0,7.0,7,6,7.0,7.0,7,5,7.0,7.0,7.0,7.0,1.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,3.0,7.0,5,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,4,0,0.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2,2,2,4,3.0,7.0,4.0,3.0,4.0,4.25,6.0,3.5,6.0,6.33333333333333,2.77777777777778,5.0,0,0,8,-0.25548649448582,1.03324142377412,1.07333707899413,-0.818990535257732,0.0757561923087199,1,1
1,2,1.0,2,28,61874.0,2,2,1,6,4.0,5.0,1,5.0,6.0,3.0,3.0,3.0,1.0,2,1,2,1,2,1,1.0,1,1.0,1,3,1,1.0,2.0,4,3,2,1.0,1,2,1.0,2.0,1.0,2.0,1.0,1.0,3,4.0,4.0,1.0,2.0,1,1,2,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,1.0,2,4,5.0,4.0,5.0,4,5.0,4.0,4,5.0,5,4,5,4.0,4,2.0,4,4.0,4.0,5.0,5,5.0,1,7,3.0,6.0,3,7,7.0,7,7,2,3,3.0,1,5.0,2,6.0,6.0,5.0,7.0,5.0,7.0,5.0,6.0,1.0,4.0,5.0,5.0,3.0,3,2.0,6.0,5,6,3.0,6.0,6,6,5.0,7.0,7.0,6.0,3.0,5.0,2.0,5.0,7.0,5.0,7.0,6.0,7.0,2.0,6.0,3.0,7.0,6,3.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0,3,2.0,4,3,4,4,4,3,4,3,4,0,0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2,2,7,7,2.0,7.0,6.0,2.0,4.28571428571429,6.75,6.66666666666667,2.5,5.22222222222222,4.55555555555556,4.77777777777778,5.0,10,19,33,0.162416414351699,-0.0274604669142653,-1.09174381200577,1.57084309516303,0.0757561923087199,0,0
2,3,1.0,2,18,61603.0,1,0,1,4,4.0,2.0,4,4.0,9.0,5.0,2.0,3.0,1.0,2,2,4,4,1,3,2.0,2,4.0,2,2,1,1.0,4.0,4,4,4,1.0,3,3,1.0,1.0,1.0,1.0,2.0,2.0,4,4.0,4.0,1.0,1.0,2,1,3,4.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4,3,3.0,4.0,4.0,4,4.0,4.0,4,4.0,2,2,3,3.0,5,3.0,5,3.0,5.0,1.0,2,4.0,7,6,1.0,5.0,3,6,7.0,7,6,6,3,1.0,1,5.0,4,6.0,3.0,5.0,2.0,6.0,7.0,1.0,2.0,1.0,1.0,7.0,4.0,7.0,5,3.0,7.0,6,5,5.0,6.0,7,3,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,5.0,6.0,5.0,5.0,2.0,7.0,4.0,3.0,7.0,5,2.0,4.0,3.0,3.0,0.0,0.0,4.0,3.0,0,3,2.0,4,3,0,4,4,3,4,4,0,3,3,0.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,2,6,1,7,5.0,7.0,1.0,4.0,3.71428571428571,4.125,6.33333333333333,3.5,6.0,5.22222222222222,3.44444444444444,5.44444444444444,2,20,32,-0.67338940332334,1.03324142377412,-0.279838477880806,-0.0223793251174769,0.551048467341508,2,2
3,4,1.0,2,18,60044.0,1,0,1,4,3.0,4.0,4,4.0,9.0,2.0,1.0,3.0,2.0,2,3,3,4,3,3,4.0,3,2.0,3,3,4,2.0,4.0,3,3,1,1.0,1,2,1.0,1.0,2.0,2.0,2.0,2.0,4,4.0,4.0,3.0,3.0,1,1,4,4.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,2,4,4.0,5.0,4.0,5,4.0,4.0,5,3.0,2,1,1,2.0,5,1.0,4,4.0,5.0,2.0,5,5.0,1,5,1.0,6.0,3,7,7.0,7,4,1,2,1.0,5,1.0,2,5.0,7.0,5.0,3.0,6.0,7.0,1.0,7.0,1.0,2.0,7.0,4.0,2.0,5,5.0,7.0,5,6,3.0,7.0,7,7,6.0,7.0,7.0,7.0,2.0,7.0,3.0,5.0,3.0,3.0,5.0,4.0,6.0,7.0,5.0,2.0,7.0,7,3.0,4.0,2.0,3.0,0.0,4.0,4.0,0.0,0,4,2.0,3,4,4,4,4,4,4,4,0,3,4,0.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2,2,7,3,1.0,7.0,1.0,3.0,3.71428571428571,4.5,6.83333333333333,2.33333333333333,5.22222222222222,5.44444444444444,2.77777777777778,4.66666666666667,6,17,38,-0.67338940332334,-0.0274604669142653,-0.0092033665058191,-0.818990535257732,-0.280713013965871,1,1
4,5,1.0,2,23,75232.0,1,0,1,6,4.0,4.0,1,3.0,10.0,4.0,2.0,2.0,1.0,2,3,3,4,1,1,2.0,1,2.0,2,3,3,1.0,4.0,4,3,4,2.0,3,1,2.0,2.0,2.0,2.0,2.0,2.0,4,4.0,3.0,2.0,1.0,1,1,3,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5,5,5.0,5.0,5.0,5,5.0,5.0,4,5.0,5,3,4,5.0,5,3.0,5,4.0,5.0,5.0,4,3.0,1,7,4.0,6.0,3,6,7.0,7,6,2,2,4.0,1,2.0,4,5.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,1.0,6.0,4.0,6.0,2.0,1,2.0,7.0,7,7,5.0,7.0,6,2,1.0,7.0,7.0,4.0,6.0,5.0,3.0,6.0,5.0,5.0,6.0,6.0,7.0,5.0,4.0,3.0,7.0,7,4.0,3.0,4.0,3.0,0.0,4.0,3.0,4.0,4,4,4.0,4,4,3,4,4,4,4,3,2,3,4,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,6,2,7,7,3.0,7.0,3.0,4.0,4.85714285714286,6.125,6.83333333333333,3.5,4.55555555555556,4.66666666666667,4.77777777777778,5.44444444444444,17,24,35,0.998222232026738,-0.936633516075741,-0.956426256318272,1.57084309516303,0.551048467341508,0,0
5,6,1.0,1,19,60031.0,1,0,1,4,5.0,7.0,4,4.0,6.0,5.0,1.0,1.0,2.0,3,1,3,4,1,2,2.0,1,2.0,1,1,1,1.0,4.0,1,1,3,1.0,3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,4.0,4.0,2.0,2.0,3,1,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,4,4,5.0,4.0,5.0,4,4.0,4.0,4,2.0,4,1,2,2.0,5,4.0,3,1.0,5.0,1.0,4,3.0,6,5,1.0,7.0,5,4,7.0,7,6,3,5,3.0,2,4.0,4,2.0,1.0,5.0,2.0,7.0,7.0,1.0,6.0,1.0,1.0,7.0,7.0,4.0,1,3.0,7.0,7,3,2.0,7.0,7,5,2.0,7.0,5.0,7.0,1.0,7.0,6.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,5.0,3.0,7.0,7,7.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0.0,0,2,0,0,0,2,3,0,0,3,0,0.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,7,7,2,6,7.0,7.0,6.0,3.0,3.14285714285714,4.25,7.0,4.83333333333333,5.33333333333333,5.44444444444444,3.22222222222222,3.33333333333333,0,0,16,-1.50919522099838,0.124068374612647,-0.0092033665058191,-0.287916395164229,-1.70658983906424,1,1
6,7,1.0,2,21,60448.0,1,0,1,4,5.0,3.0,1,1.0,6.0,3.0,1.0,3.0,1.0,2,1,2,3,1,1,1.0,1,1.0,2,1,1,1.0,3.0,3,2,1,1.0,2,2,1.0,1.0,2.0,1.0,2.0,1.0,2,3.0,3.0,1.0,1.0,2,1,1,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,,4.0,1.0,4,3,3.0,4.0,4.0,3,4.0,4.0,4,4.0,3,2,3,2.0,4,2.0,4,3.0,4.0,3.0,4,2.0,4,4,1.0,4.0,2,4,5.0,4,3,5,2,2.0,2,1.0,3,4.0,5.0,4.0,4.0,4.0,3.0,6.0,5.0,2.0,2.0,1.0,6.0,4.0,5,4.0,5.0,6,4,4.0,6.0,6,6,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4,3.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0,0,0.0,1,0,0,2,2,2,3,3,0,0,0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,4,6,3.0,6.0,3.0,4.0,3.42857142857143,4.0,4.66666666666667,3.0,5.11111111111111,4.66666666666667,2.77777777777778,5.0,0,6,16,-1.09129231216086,-0.178989308441179,-0.956426256318272,-0.818990535257732,0.0757561923087199,1,1
7,8,1.0,1,23,60617.0,1,0,1,5,4.0,3.0,1,1.0,9.0,3.0,2.0,2.0,1.0,1,4,4,4,3,3,1.0,1,3.0,3,1,1,1.0,4.0,3,3,4,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,4,4.0,4.0,1.0,3.0,2,1,4,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,5,3,3.0,4.0,4.0,5,3.0,3.0,3,4.0,4,1,2,3.0,5,1.0,4,5.0,5.0,5.0,4,5.0,7,4,1.0,3.0,1,5,7.0,7,2,7,1,1.0,5,1.0,4,5.0,7.0,2.0,4.0,7.0,7.0,1.0,7.0,1.0,1.0,7.0,6.0,6.0,6,7.0,7.0,7,4,6.0,7.0,7,7,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,4.0,7.0,4.0,3.0,5.0,3.0,7.0,7,4.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,0,4,4.0,1,0,0,3,3,1,1,0,0,4,4,0.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2,2,1,3,1.0,7.0,5.0,3.0,4.42857142857143,3.5,6.33333333333333,2.66666666666667,6.11111111111111,6.66666666666667,2.44444444444444,6.55555555555556,4,19,15,0.371367868770459,1.18477026530103,1.47928974605661,-1.21729614032786,1.73927915492348,2,2
8,9,1.0,1,21,60466.0,1,0,1,4,4.0,5.0,2,5.0,10.0,3.0,3.0,3.0,2.0,1,2,4,2,3,3,4.0,4,4.0,3,3,4,1.0,4.0,2,2,4,1.0,3,4,1.0,1.0,1.0,1.0,1.0,1.0,3,4.0,4.0,1.0,1.0,4,1,4,4.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,3,4,2.0,4.0,5.0,5,5.0,4.0,4,5.0,5,2,2,5.0,5,3.0,5,5.0,5.0,5.0,4,4.0,3,6,1.0,7.0,4,6,7.0,7,6,1,2,4.0,2,1.0,4,7.0,4.0,4.0,6.0,7.0,6.0,2.0,4.0,1.0,1.0,7.0,5.0,2.0,1,6.0,7.0,7,7,6.0,7.0,7,4,5.0,7.0,6.0,6.0,5.0,7.0,5.0,5.0,5.0,3.0,6.0,5.0,6.0,3.0,3.0,4.0,7.0,7,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4,4,0.0,4,4,4,4,4,4,4,4,4,4,4,0.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2,2,5,6,4.0,7.0,5.0,5.0,5.0,5.875,7.0,4.33333333333333,5.0,5.11111111111111,3.33333333333333,5.44444444444444,16,24,39,1.2071736864455,-0.330518149968091,-0.4151560335683,-0.155147860140853,0.551048467341508,1,1
9,10,1.0,2,22,60636.0,1,0,1,4,2.0,2.0,1,1.0,6.0,4.0,2.0,2.0,2.0,2,1,3,4,1,1,3.0,1,2.0,2,1,2,1.0,4.0,3,3,2,1.0,2,2,2.0,2.0,2.0,2.0,1.0,1.0,4,4.0,4.0,2.0,2.0,2,1,3,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,5,5,5.0,5.0,5.0,5,5.0,5.0,4,5.0,5,5,4,4.0,4,4.0,4,4.0,5.0,5.0,5,5.0,1,7,1.0,7.0,3,7,7.0,7,7,6,4,4.0,1,1.0,5,7.0,5.0,6.0,7.0,6.0,7.0,2.0,6.0,1.0,2.0,7.0,3.0,5.0,5,2.0,7.0,6,6,6.0,6.0,5,3,4.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,5.0,5.0,7.0,6.0,5.0,4.0,3.0,5.0,7.0,7,6.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,0,4,0.0,0,4,0,4,0,0,4,4,0,4,4,0.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2,2,7,7,3.0,7.0,4.0,5.0,4.42857142857143,6.5,7.0,4.5,5.33333333333333,5.22222222222222,3.88888888888889,5.33333333333333,4,15,28,0.371367868770459,0.124068374612647,-0.279838477880806,0.508694814976026,0.432225398583311,2,2
